scenario,scenario_id,D,noise_type,method,n_series,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,f1_mean,f1_ci_low,f1_ci_high,mae_mean,mae_ci_low,mae_ci_high,roc_auc_mean,roc_auc_ci_low,roc_auc_ci_high,pr_auc_mean,pr_auc_ci_low,pr_auc_ci_high
"D=0.5, white",eval_multi_D05_white,0.5,white,SNHT,50,1.0,1.0,1.0,0.64152366,0.54438076,0.7359998999999999,0.7249999800000001,0.64999998,0.79999998,1.36,1.02,1.72,,,,,,
"D=0.5, white",eval_multi_D05_white,0.5,white,Chow,50,0.92,0.84,0.98,0.56152366,0.45771412000000006,0.6653332000000001,0.64499998,0.55499996,0.7333332999999999,4.521739130434782,3.108695652173913,6.1521739130434785,0.6837799999999998,0.6632099,0.70434425,0.533188,0.48486639999999986,0.57966015
"D=0.5, white",eval_multi_D05_white,0.5,white,GRU_v2,50,0.32200002000000005,0.22200001999999996,0.4240250589999996,0.22990472,0.1613333395,0.3019047005,0.25342862,0.18152384,0.32895722199999994,3.1800000000000006,2.0064975000000005,4.52,0.918456,0.8971799000000001,0.9383602000000001,0.550688,0.49501969999999995,0.6016124999999999
"D=0.5, white",eval_multi_D05_white,0.5,white,CatBoost,50,0.35499998,0.24833332,0.46499998,0.2125713,0.1472380195,0.28323796,0.24336505999999997,0.17457141950000002,0.31257221300000004,4.28205,2.269230769230769,6.602561538461539,0.6498140000000001,0.59828865,0.6979162999999998,0.210782,0.15622504999999998,0.26695424999999995
"D=0.5, white",eval_multi_D05_white,0.5,white,LSTM_v2,50,0.23730156000000002,0.15762857,0.323779725,0.2089523,0.1466666,0.2740999604999999,0.20700300000000002,0.144317296,0.272617424,2.3186679999999997,1.6452693000000003,3.100004,0.866268,0.8404874000000001,0.8899726000000001,0.423976,0.3787270000000001,0.4726333
"D=0.5, white",eval_multi_D05_white,0.5,white,BuishandLR,50,0.44,0.3,0.58,0.13485702000000002,0.09199992,0.17867126199999994,0.20499997999999997,0.13999999950000003,0.2700416654999994,2.590909090909091,1.0454545454545454,4.818181818181818,0.48559399999999997,0.42331765000000005,0.5461134999999999,0.172998,0.11754500000000001,0.23190115000000003
"D=0.5, white",eval_multi_D05_white,0.5,white,BuishandQ,50,0.42,0.28,0.56,0.12819036,0.08666658,0.1708617614999999,0.19499998,0.12999998000000001,0.2616666405,2.3333333333333335,0.8571428571428571,4.523809523809524,0.48559399999999997,0.42301345,0.5462762,0.172998,0.11835530000000001,0.23253934999999998
"D=0.5, white",eval_multi_D05_white,0.5,white,BuishandRange,50,0.42,0.28,0.56,0.12819036,0.08552374,0.17104745999999998,0.19499998,0.13166664,0.26166666,2.3333333333333335,0.9047619047619048,4.523809523809524,0.48559399999999997,0.4234474,0.5464671999999999,0.172998,0.11777115,0.23002685
"D=0.5, white",eval_multi_D05_white,0.5,white,BuishandU,50,0.42,0.28,0.56,0.12819036,0.08533326000000001,0.17238079999999997,0.19499998,0.12999998000000001,0.26166663999999995,2.3333333333333335,0.9047619047619048,4.523809523809524,0.48559399999999997,0.42192005000000005,0.5469901,0.172998,0.11871720000000001,0.22993924999999998
"D=0.5, white",eval_multi_D05_white,0.5,white,Nyblom,50,0.42,0.28,0.56,0.12819036,0.08533326000000001,0.17085698000000002,0.19499998,0.1316666595,0.26166666,3.0,1.619047619047619,5.142857142857143,0.5181119999999999,0.46712979999999993,0.56625165,0.21159199999999997,0.1489464,0.2768517
"D=0.5, white",eval_multi_D05_white,0.5,white,LSTM,50,0.309,0.19566666,0.42833334,0.13923797999999998,0.0931284945,0.18723794,0.18543292,0.12281875149999999,0.25142877750000003,2.416665,1.275,4.116665,0.59472,0.53698995,0.64903885,0.14571800000000001,0.10415065000000001,0.18900675
"D=0.5, white",eval_multi_D05_white,0.5,white,GRU,50,0.23833330000000003,0.14333333950000002,0.33833330000000006,0.13257132,0.08647612,0.18057128,0.16376622000000002,0.1062809575,0.22523831499999997,2.1842105263157894,1.0789473684210527,3.8947368421052633,0.558074,0.49572735000000007,0.6197550499999999,0.10418200000000001,0.0737193,0.13657075
