scenario,method,margin,n_series,mean_precision,mean_recall,mean_f1,std_f1,mean_mae,mean_roc_auc,mean_pr_auc
"D=0.5, white",BuishandLR,25,50,0.44,0.1349,0.205,0.2364,2.59,0.4856,0.173
"D=0.5, white",BuishandLR,50,50,0.46,0.1415,0.215,0.2381,4.09,0.4904,0.2078
"D=0.5, white",BuishandLR,100,50,0.48,0.1482,0.225,0.2394,6.83,0.4907,0.2633
"D=0.5, white",BuishandQ,25,50,0.42,0.1282,0.195,0.2343,2.33,0.4856,0.173
"D=0.5, white",BuishandQ,50,50,0.42,0.1282,0.195,0.2343,2.33,0.4904,0.2078
"D=0.5, white",BuishandQ,100,50,0.42,0.1282,0.195,0.2343,2.33,0.4907,0.2633
"D=0.5, white",BuishandRange,25,50,0.42,0.1282,0.195,0.2343,2.33,0.4856,0.173
"D=0.5, white",BuishandRange,50,50,0.42,0.1282,0.195,0.2343,2.33,0.4904,0.2078
"D=0.5, white",BuishandRange,100,50,0.42,0.1282,0.195,0.2343,2.33,0.4907,0.2633
"D=0.5, white",BuishandU,25,50,0.42,0.1282,0.195,0.2343,2.33,0.4856,0.173
"D=0.5, white",BuishandU,50,50,0.42,0.1282,0.195,0.2343,2.33,0.4904,0.2078
"D=0.5, white",BuishandU,100,50,0.42,0.1282,0.195,0.2343,2.33,0.4907,0.2633
"D=0.5, white",CUSUM,25,50,0.0586,0.2891,0.0707,0.0988,7.85,0.2565,0.0421
"D=0.5, white",CUSUM,50,50,0.0859,0.5013,0.1128,0.1361,17.84,0.3432,0.0673
"D=0.5, white",CUSUM,100,50,0.104,0.6293,0.1425,0.1496,26.3,0.3908,0.1155
"D=0.5, white",CatBoost,25,50,0.355,0.2126,0.2434,0.2467,4.28,0.6498,0.2108
"D=0.5, white",CatBoost,50,50,0.355,0.2126,0.2434,0.2467,4.28,0.5896,0.1575
"D=0.5, white",CatBoost,100,50,0.37,0.2366,0.2611,0.2563,6.91,0.5425,0.1719
"D=0.5, white",Chow,25,50,0.92,0.5615,0.645,0.3192,4.52,0.6838,0.5332
"D=0.5, white",Chow,50,50,0.96,0.6015,0.685,0.2978,6.17,0.7408,0.5789
"D=0.5, white",Chow,100,50,0.98,0.6215,0.705,0.2844,7.16,0.7498,0.5882
"D=0.5, white",GP,25,50,0.26,0.0749,0.115,0.1992,8.23,,
"D=0.5, white",GP,50,50,0.28,0.0815,0.125,0.2056,9.71,,
"D=0.5, white",GP,100,50,0.3,0.0882,0.135,0.2114,13.33,,
"D=0.5, white",GRU,25,50,0.2383,0.1326,0.1638,0.2157,2.18,0.5581,0.1042
"D=0.5, white",GRU,50,50,0.2383,0.1326,0.1638,0.2157,2.18,0.5238,0.0955
"D=0.5, white",GRU,100,50,0.3283,0.2326,0.2551,0.3102,18.07,0.5187,0.1448
"D=0.5, white",GRU,25,50,0.322,0.2299,0.2534,0.2671,3.18,0.9185,0.5507
"D=0.5, white",GRU,50,50,0.3453,0.2606,0.2764,0.2828,6.25,0.6538,0.2266
"D=0.5, white",GRU,100,50,0.377,0.3046,0.3093,0.3158,11.88,0.5793,0.1972
"D=0.5, white",LSTM,25,50,0.309,0.1392,0.1854,0.2326,2.42,0.5947,0.1457
"D=0.5, white",LSTM,50,50,0.334,0.1659,0.2034,0.2352,5.65,0.5733,0.1266
"D=0.5, white",LSTM,100,50,0.3707,0.1992,0.2381,0.2762,11.78,0.5461,0.161
"D=0.5, white",LSTM,25,50,0.2373,0.209,0.207,0.2294,2.32,0.8663,0.424
"D=0.5, white",LSTM,50,50,0.2542,0.2556,0.231,0.2358,6.39,0.6522,0.1682
"D=0.5, white",LSTM,100,50,0.298,0.2998,0.2743,0.2812,13.09,0.5822,0.1768
"D=0.5, white",MDL,25,50,0.245,0.1002,0.1394,0.2187,1.57,,
"D=0.5, white",MDL,50,50,0.245,0.1002,0.1394,0.2187,1.57,,
"D=0.5, white",MDL,100,50,0.3117,0.1269,0.176,0.2313,16.13,,
"D=0.5, white",Nyblom,25,50,0.42,0.1282,0.195,0.2343,3.0,0.5181,0.2116
"D=0.5, white",Nyblom,50,50,0.42,0.1282,0.195,0.2343,3.0,0.5246,0.2513
"D=0.5, white",Nyblom,100,50,0.42,0.1282,0.195,0.2343,3.0,0.5413,0.3101
"D=0.5, white",Pettitt,25,50,0.34,0.1015,0.155,0.2211,1.88,,
"D=0.5, white",Pettitt,50,50,0.36,0.1082,0.165,0.2251,4.11,,
"D=0.5, white",Pettitt,100,50,0.38,0.1149,0.175,0.2287,7.0,,
"D=0.5, white",SNHT,25,50,1.0,0.6415,0.725,0.2689,1.36,,
"D=0.5, white",SNHT,50,50,1.0,0.6415,0.725,0.2689,1.36,,
"D=0.5, white",SNHT,100,50,1.0,0.6415,0.725,0.2689,1.36,,
"D=0.5, white",SWAB,25,50,0.0542,0.0509,0.0511,0.1142,12.56,,
"D=0.5, white",SWAB,50,50,0.0953,0.1029,0.0966,0.1525,23.53,,
"D=0.5, white",SWAB,100,50,0.1717,0.179,0.1711,0.2596,43.33,,
"D=0.5, white",Transformer,25,50,0.0631,0.2865,0.1021,0.12,2.85,0.8576,0.3825
"D=0.5, white",Transformer,50,50,0.0706,0.3771,0.1155,0.1194,10.1,0.6601,0.148
"D=0.5, white",Transformer,100,50,0.0987,0.6358,0.1644,0.1286,32.21,0.5555,0.1542
"D=1, pink",BuishandLR,25,50,1.0,0.0053,0.0105,0.0007,0.78,0.5013,0.8272
"D=1, pink",BuishandLR,50,50,1.0,0.0053,0.0105,0.0007,0.78,0.5244,0.9509
"D=1, pink",BuishandLR,100,50,1.0,0.0053,0.0105,0.0007,0.78,0.5668,0.982
"D=1, pink",BuishandQ,25,50,1.0,0.0053,0.0105,0.0007,0.78,0.5013,0.8272
"D=1, pink",BuishandQ,50,50,1.0,0.0053,0.0105,0.0007,0.78,0.5244,0.9509
"D=1, pink",BuishandQ,100,50,1.0,0.0053,0.0105,0.0007,0.78,0.5668,0.982
"D=1, pink",BuishandRange,25,50,1.0,0.0053,0.0105,0.0007,0.78,0.5013,0.8272
"D=1, pink",BuishandRange,50,50,1.0,0.0053,0.0105,0.0007,0.78,0.5244,0.9509
"D=1, pink",BuishandRange,100,50,1.0,0.0053,0.0105,0.0007,0.78,0.5668,0.982
"D=1, pink",BuishandU,25,50,1.0,0.0053,0.0105,0.0007,0.78,0.5013,0.8272
"D=1, pink",BuishandU,50,50,1.0,0.0053,0.0105,0.0007,0.78,0.5244,0.9509
"D=1, pink",BuishandU,100,50,1.0,0.0053,0.0105,0.0007,0.78,0.5668,0.982
"D=1, pink",CUSUM,25,50,0.7945,0.2698,0.4024,0.0408,7.5,0.4736,0.7833
"D=1, pink",CUSUM,50,50,0.9158,0.3109,0.4638,0.0372,11.34,0.4693,0.9378
"D=1, pink",CUSUM,100,50,0.9668,0.3283,0.4896,0.0339,14.77,0.5548,0.9856
"D=1, pink",CatBoost,25,50,0.8501,0.1236,0.2156,0.0233,1.61,0.6658,0.9154
"D=1, pink",CatBoost,50,50,0.94,0.1367,0.2384,0.0237,5.12,0.6446,0.9738
"D=1, pink",CatBoost,100,50,0.9928,0.1442,0.2516,0.0198,8.31,0.6081,0.9932
"D=1, pink",Chow,25,50,0.92,0.0048,0.0096,0.0029,1.04,0.5657,0.838
"D=1, pink",Chow,50,50,0.98,0.0051,0.0102,0.0016,3.12,0.5872,0.957
"D=1, pink",Chow,100,50,1.0,0.0053,0.0105,0.0007,4.08,0.7284,0.9927
"D=1, pink",GP,25,50,0.82,0.0051,0.01,0.0057,1.44,,
"D=1, pink",GP,50,50,0.82,0.0051,0.01,0.0057,1.44,,
"D=1, pink",GP,100,50,0.82,0.0051,0.01,0.0057,1.44,,
"D=1, pink",GRU,25,50,0.9632,0.1064,0.1914,0.0207,0.81,0.6352,0.8968
"D=1, pink",GRU,50,50,0.988,0.1091,0.1963,0.0189,1.74,0.6079,0.9683
"D=1, pink",GRU,100,50,0.9981,0.1102,0.1982,0.0181,2.41,0.5954,0.9924
"D=1, pink",GRU,25,50,0.9871,0.3834,0.5514,0.0368,2.62,0.9216,0.9805
"D=1, pink",GRU,50,50,0.9957,0.3868,0.5562,0.0368,2.92,0.8739,0.9917
"D=1, pink",GRU,100,50,0.9997,0.3884,0.5584,0.0373,3.2,0.8131,0.997
"D=1, pink",LSTM,25,50,0.9731,0.1137,0.2034,0.0189,1.38,0.6395,0.9059
"D=1, pink",LSTM,50,50,0.9839,0.115,0.2057,0.0187,1.78,0.6173,0.9705
"D=1, pink",LSTM,100,50,0.9971,0.1165,0.2084,0.0182,2.69,0.5665,0.9918
"D=1, pink",LSTM,25,50,0.9808,0.3547,0.5198,0.0391,2.1,0.8696,0.9661
"D=1, pink",LSTM,50,50,0.9911,0.3585,0.5254,0.0398,2.49,0.8058,0.9861
"D=1, pink",LSTM,100,50,0.9992,0.3615,0.5298,0.0407,3.0,0.7593,0.996
"D=1, pink",MDL,25,50,0.9516,0.0544,0.1029,0.0114,1.73,,
"D=1, pink",MDL,50,50,0.9821,0.0561,0.1062,0.0106,2.77,,
"D=1, pink",MDL,100,50,1.0,0.0571,0.1081,0.0096,3.93,,
"D=1, pink",Nyblom,25,50,1.0,0.0053,0.0105,0.0007,0.92,0.5338,0.8372
"D=1, pink",Nyblom,50,50,1.0,0.0053,0.0105,0.0007,0.92,0.5183,0.9543
"D=1, pink",Nyblom,100,50,1.0,0.0053,0.0105,0.0007,0.92,0.7311,0.9939
"D=1, pink",Pettitt,25,50,1.0,0.0053,0.0105,0.0007,0.86,,
"D=1, pink",Pettitt,50,50,1.0,0.0053,0.0105,0.0007,0.86,,
"D=1, pink",Pettitt,100,50,1.0,0.0053,0.0105,0.0007,0.86,,
"D=1, pink",SNHT,25,50,1.0,0.0053,0.0105,0.0007,0.64,,
"D=1, pink",SNHT,50,50,1.0,0.0053,0.0105,0.0007,0.64,,
"D=1, pink",SNHT,100,50,1.0,0.0053,0.0105,0.0007,0.64,,
"D=1, pink",SWAB,25,50,0.8584,0.0639,0.1189,0.0167,7.73,,
"D=1, pink",SWAB,50,50,0.9876,0.0735,0.1368,0.013,11.16,,
"D=1, pink",SWAB,100,50,0.997,0.0743,0.1381,0.0131,11.82,,
"D=1, pink",Transformer,25,50,0.9161,0.4105,0.566,0.0405,3.33,0.8957,0.972
"D=1, pink",Transformer,50,50,0.9534,0.4275,0.5893,0.0444,4.58,0.8791,0.991
"D=1, pink",Transformer,100,50,0.9876,0.4427,0.6103,0.0411,6.81,0.8615,0.9979
