result_group,scenario,scenario_id,D,noise_type,method,n_series,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,f1_mean,f1_ci_low,f1_ci_high,mae_mean,mae_ci_low,mae_ci_high,roc_auc_mean,roc_auc_ci_low,roc_auc_ci_high,pr_auc_mean,pr_auc_ci_low,pr_auc_ci_high
transformer,"D=1, white",same_noise_D10_white,1.0,white,Transformer_v2_same_noise_white,50,0.7014606800000002,0.674674727,0.7263482949999999,0.5099104400000001,0.49279472999999996,0.528109504,0.5859215400000001,0.5699375299999999,0.6016922205,21.04667,20.195280500000003,21.87898265,0.49109,0.48747395,0.49458440000000004,0.6658840000000003,0.64195995,0.6885440500000001
transformer,"D=1, pink",same_noise_D10_pink,1.0,pink,Transformer_v2_same_noise_pink,50,0.95082006,0.9386352319999999,0.962259688,0.15276628000000003,0.148168655,0.157213649,0.26301764000000005,0.2558846905,0.2699457075,12.212501999999999,11.6049493,12.8441446,0.5026530612244898,0.48111607142857143,0.5243450510204082,0.9568142857142856,0.9481570918367347,0.9649755612244897
transformer,"D=1, brownian",same_noise_D10_brownian,1.0,brownian,Transformer_v2_same_noise_brownian,50,0.9463266,0.9277542579999999,0.9629783144999999,0.06488072,0.06144602800000001,0.06842889399999999,0.12119958,0.115177564,0.12749373,4.51642,3.9295178499999994,5.09963765,0.96549,0.96056595,0.97024405,0.9796780000000002,0.976044,0.9829483
transformer,"D=1, blue",same_noise_D10_blue,1.0,blue,Transformer_v2_same_noise_blue,50,0.09644103999999999,0.07668548150000001,0.1160726155,0.6171198400000001,0.5278570075,0.7030262259999999,0.15975894,0.129957808,0.19054107850000002,28.639039534883725,25.133685290697674,32.062324883720926,0.49332,0.48604395,0.49985809999999997,0.08622,0.0668293,0.10668435
transformer,"D=1, violet",same_noise_D10_violet,1.0,violet,Transformer_v2_same_noise_violet,50,0.043083340000000005,0.031541679999999996,0.054917741499999985,0.6068571600000001,0.48533333949999996,0.7240000005000001,0.0777948,0.0579430695,0.09794181849999999,37.15333142857143,32.77851178571429,41.28823442857143,0.50015,0.49981000000000003,0.5004139999999999,0.030848,0.0197159,0.04327864999999999
classical,"D=1, white",same_noise_D10_white,1.0,white,CUSUM,50,0.57440132,0.5493405305000001,0.5989417364999999,0.79935998,0.7844975189999999,0.8142520984999998,0.6631798200000002,0.6456713420000001,0.6803820104999998,14.687383999999998,14.31059565,15.054386149999997,0.483614,0.4563917,0.5103204,0.700376,0.6758697999999999,0.7237703000000001
classical,"D=1, white",same_noise_D10_white,1.0,white,SNHT,50,1.0,1.0,1.0,0.025121179999999996,0.0238019935,0.026617726,0.0489625,0.046464242499999996,0.05186844299999999,1.12,0.74,1.54,,,,,,
classical,"D=1, white",same_noise_D10_white,1.0,white,Chow,50,0.98,0.94,1.0,0.024676740000000003,0.0229175235,0.026415828499999995,0.04809294,0.04475302999999999,0.051379664500000005,1.8571428571428572,0.8163265306122449,3.489795918367347,0.552918,0.52505795,0.5792621499999999,0.7633300000000002,0.7412417000000001,0.7842545999999998
classical,"D=1, pink",same_noise_D10_pink,1.0,pink,CUSUM,50,0.91583432,0.9017855705,0.9287541350000001,0.31094271999999995,0.302642584,0.318986559,0.46379002,0.453304701,0.47397424749999995,11.343496,10.9736981,11.71901,0.4693163265306123,0.41013239795918366,0.5291246428571428,0.9377938775510204,0.923079336734694,0.9511940816326531
classical,"D=1, pink",same_noise_D10_pink,1.0,pink,SNHT,50,1.0,1.0,1.0,0.00525452,0.005149619500000001,0.0053599625,0.010453820000000003,0.0102449945,0.010662179999999999,0.64,0.42,0.88,,,,,,
classical,"D=1, pink",same_noise_D10_pink,1.0,pink,Chow,50,0.98,0.94,1.0,0.00514582,0.004878597,0.0053325415,0.010237600000000003,0.0097039355,0.0106076405,3.122448979591837,1.0816326530612246,5.8168367346938705,0.5872224489795917,0.5357685204081633,0.6393916326530612,0.9570469387755102,0.9457012244897959,0.9672070408163265
