scenario,scenario_tag,method,series_seed,margin,n_true,n_pred,precision,recall,f1,mae,roc_auc,pr_auc,time_s
"D=0.5, white",D05_white,SWAB,1000,25,5,6,0.166667,0.2,0.181818,21.0,,,0.0126
"D=0.5, white",D05_white,SWAB,1000,50,5,6,0.333333,0.4,0.363636,29.0,,,0.0126
"D=0.5, white",D05_white,SWAB,1000,100,5,6,0.5,0.6,0.545455,44.0,,,0.0126
"D=0.5, white",D05_white,SWAB,1001,25,1,1,0.0,0.0,0.0,9999.0,,,0.1152
"D=0.5, white",D05_white,SWAB,1001,50,1,1,0.0,0.0,0.0,9999.0,,,0.1152
"D=0.5, white",D05_white,SWAB,1001,100,1,1,0.0,0.0,0.0,9999.0,,,0.1152
"D=0.5, white",D05_white,SWAB,1002,25,1,0,0.0,0.0,0.0,9999.0,,,0.0531
"D=0.5, white",D05_white,SWAB,1002,50,1,0,0.0,0.0,0.0,9999.0,,,0.0531
"D=0.5, white",D05_white,SWAB,1002,100,1,0,0.0,0.0,0.0,9999.0,,,0.0531
"D=0.5, white",D05_white,SWAB,1003,25,3,0,0.0,0.0,0.0,9999.0,,,0.0125
"D=0.5, white",D05_white,SWAB,1003,50,3,0,0.0,0.0,0.0,9999.0,,,0.0125
"D=0.5, white",D05_white,SWAB,1003,100,3,0,0.0,0.0,0.0,9999.0,,,0.0125
"D=0.5, white",D05_white,SWAB,1004,25,3,0,0.0,0.0,0.0,9999.0,,,0.0135
"D=0.5, white",D05_white,SWAB,1004,50,3,0,0.0,0.0,0.0,9999.0,,,0.0135
"D=0.5, white",D05_white,SWAB,1004,100,3,0,0.0,0.0,0.0,9999.0,,,0.0135
"D=0.5, white",D05_white,SWAB,1005,25,3,3,0.333333,0.333333,0.333333,21.0,,,0.0236
"D=0.5, white",D05_white,SWAB,1005,50,3,3,0.333333,0.333333,0.333333,21.0,,,0.0236
"D=0.5, white",D05_white,SWAB,1005,100,3,3,0.666667,0.666667,0.666667,48.0,,,0.0236
"D=0.5, white",D05_white,SWAB,1006,25,1,0,0.0,0.0,0.0,9999.0,,,0.0125
"D=0.5, white",D05_white,SWAB,1006,50,1,0,0.0,0.0,0.0,9999.0,,,0.0125
"D=0.5, white",D05_white,SWAB,1006,100,1,0,0.0,0.0,0.0,9999.0,,,0.0125
"D=0.5, white",D05_white,SWAB,1007,25,1,0,0.0,0.0,0.0,9999.0,,,0.0165
"D=0.5, white",D05_white,SWAB,1007,50,1,0,0.0,0.0,0.0,9999.0,,,0.0165
"D=0.5, white",D05_white,SWAB,1007,100,1,0,0.0,0.0,0.0,9999.0,,,0.0165
"D=0.5, white",D05_white,SWAB,1008,25,3,4,0.0,0.0,0.0,9999.0,,,0.0168
"D=0.5, white",D05_white,SWAB,1008,50,3,4,0.25,0.333333,0.285714,28.0,,,0.0168
"D=0.5, white",D05_white,SWAB,1008,100,3,4,0.5,0.666667,0.571429,47.0,,,0.0168
"D=0.5, white",D05_white,SWAB,1009,25,3,0,0.0,0.0,0.0,9999.0,,,0.0216
"D=0.5, white",D05_white,SWAB,1009,50,3,0,0.0,0.0,0.0,9999.0,,,0.0216
"D=0.5, white",D05_white,SWAB,1009,100,3,0,0.0,0.0,0.0,9999.0,,,0.0216
"D=0.5, white",D05_white,SWAB,1010,25,3,4,0.0,0.0,0.0,9999.0,,,0.0231
