D,alpha,dt,noise_type,mean_cp,std_cp,h1_n,h1_ov_mean,h1_p_halfnorm,h2_n,h2_mean,h2_median,h2_cv,h2_skewness,h2_gamma_shape,h2_p_gamma,h2_p_beta,h3_disp_index,h3_disp_p,h4_n,h4_mean,h4_gamma_shape,h4_p_expon,h4_p_beta,h4_p_gamma
0.1,0.3162,0.2,white,1.1333333333333333,0.49888765156985887,34,0.18445942872202498,0.8179455607211834,4,3387.75,2347.5,1.085223744259651,,,,,0.22718052738336714,9.010808565759638e-06,34,419.44117647058823,0.2680135238802429,,,
0.1,0.3162,0.4,white,1.0,0.0,30,0.12990660973553228,0.9331333993606186,0,,,,,,,,0.0,0.0,30,13.8,7.293214581587745,,0.30170714762597706,0.46153441403119144
0.1,0.3162,0.6,white,1.0,0.0,30,0.1708511817117682,0.7613816186713216,0,,,,,,,,0.0,0.0,30,9.966666666666667,8.270196155481932,,0.9086189486055125,0.237324692246932
0.1,0.3162,0.8,white,1.0,0.0,30,0.21806543320575886,0.8004675835352041,0,,,,,,,,0.0,0.0,30,7.8,8.397061778450798,,0.26392603060884584,0.2676266519494298
0.1,0.3162,1.0,white,1.0,0.0,30,0.24605543733082935,0.23453164742178048,0,,,,,,,,0.0,0.0,30,6.6,7.284765224023429,,0.15787278931103607,0.062343532068619076
0.1,0.3162,1.2,white,1.0,0.0,30,0.27710526050715234,0.9991899791183884,0,,,,,,,,0.0,0.0,30,5.533333333333333,8.541374078172103,,,0.03787832557752759
0.1,0.3162,1.4,white,1.0,0.0,30,0.2766478805417955,0.8886523336314739,0,,,,,,,,0.0,0.0,30,4.8,9.989845324421772,,2.991558950457142e-05,2.4864230222590694e-05
0.1,0.3162,1.6,white,1.0,0.0,30,0.30477174251574507,0.9053474892372098,0,,,,,,,,0.0,0.0,30,4.633333333333334,7.264313070952766,,0.00031353062075403657,0.0036684254155862433
0.1,0.3162,1.8,white,1.0,0.0,30,0.35927878847121797,0.5481271385320406,0,,,,,,,,0.0,0.0,30,4.166666666666667,7.691052955316828,,0.00012958927689030915,0.00047240902348380726
0.1,0.3162,2.0,white,1.0,0.0,30,0.42367595037732564,0.8141674808572489,0,,,,,,,,0.0,0.0,30,3.7666666666666666,7.646432831731263,,,0.0003219326005898237
0.1,0.3162,2.2,white,1.0,0.0,30,0.5404375320292437,0.13613367556231903,0,,,,,,,,0.0,0.0,30,3.3333333333333335,9.59895392269072,,,1.7939653930458013e-05
0.1,0.3162,2.4,white,1.0,0.0,30,0.7612267745052217,0.2989400383207443,0,,,,,,,,0.0,0.0,30,3.2,10.884524143300247,,,4.509537556076272e-05
0.1,0.3162,2.6,white,1.0,0.0,30,0.8226911570597288,0.07559540027432395,0,,,,,,,,0.0,0.0,30,2.933333333333333,12.05648833066434,,0.00010939145269196862,1.0684704360088265e-07
0.1,0.3162,2.8,white,1.0,0.0,30,1.001845958481505,,0,,,,,,,,0.0,0.0,30,2.966666666666667,11.055933595090854,,2.4431441857625197e-10,8.60886027722349e-09
0.1,0.3162,3.0,white,1.0,0.0,30,1.0506510368744928,,0,,,,,,,,0.0,0.0,30,2.8333333333333335,14.881142603652446,,2.0294677350627285e-06,
0.2,0.4472,0.2,white,30.3,7.123435500749153,909,0.24627750866215264,0.003574867182864914,879,319.0341296928328,39.0,1.5877231588308314,2.2528004817543423,0.46369578370113945,2.133480994167458e-10,3.71540514618539e-46,1.7324456583589394,0.017013200334836,909,308.1793179317932,0.4487638796718926,5.3270276996670125e-49,2.4109031685018113e-71,3.704402895326417e-10
0.2,0.4472,0.4,white,1.3333333333333333,0.7453559924999298,40,0.2447530520849607,0.12227899192792051,10,2569.0,628.5,1.3164765424722735,,,,,0.43103448275862066,0.006550291758326188,40,652.125,0.21937314179239714,0.0030717452151179897,,
0.2,0.4472,0.6,white,1.0,0.0,30,0.2778698193127854,0.3526529814805493,0,,,,,,,,0.0,0.0,30,8.933333333333334,6.846113365143375,,0.13456785763773801,0.09342492167767857
0.2,0.4472,0.8,white,1.0,0.0,30,0.33516824159230263,0.4388647704267581,0,,,,,,,,0.0,0.0,30,7.133333333333334,7.234309006527268,,0.10952908717811241,0.16520327127865475
0.2,0.4472,1.0,white,1.0,0.0,30,0.3017517808042363,0.9129852545429813,0,,,,,,,,0.0,0.0,30,6.266666666666667,5.446240420371059,,0.7627076121784871,0.7000173571232338
0.2,0.4472,1.2,white,1.0,0.0,30,0.335922386024999,0.3445425710722707,0,,,,,,,,0.0,0.0,30,5.333333333333333,7.7115783202967165,,0.2260188998900439,0.0071237741618963265
0.2,0.4472,1.4,white,1.0,0.0,30,0.39889025136470607,0.23844118647061557,0,,,,,,,,0.0,0.0,30,4.866666666666666,7.135822609862541,,0.0059720675567673485,0.004705531661393739
0.2,0.4472,1.6,white,1.0,0.0,30,0.3806327990491352,0.2996039900358447,0,,,,,,,,0.0,0.0,30,4.466666666666667,5.635100004637695,,0.0013818290621058268,0.0030667102092154664
0.2,0.4472,1.8,white,1.0,0.0,30,0.4163062034401928,0.9191768195538675,0,,,,,,,,0.0,0.0,30,3.7,6.751399449390722,,0.002232392774053729,0.0004768003277610138
0.2,0.4472,2.0,white,1.0,0.0,30,0.5864074107728836,0.2575300124940364,0,,,,,,,,0.0,0.0,30,3.2333333333333334,8.615851962962578,,,6.049376332786745e-05
0.2,0.4472,2.2,white,1.0,0.0,30,0.7221629608395193,0.3798404186576355,0,,,,,,,,0.0,0.0,30,3.1333333333333333,8.947716482979526,,,0.0002650572693843715
0.2,0.4472,2.4,white,1.0,0.0,30,0.7499331195810186,0.8164373249959321,0,,,,,,,,0.0,0.0,30,3.0,9.497708292756569,,,3.4732460654402223e-06
0.2,0.4472,2.6,white,1.3333333333333333,0.7453559924999298,40,0.6631964945160485,0.8067788381937225,10,1953.7,86.0,1.4127232208789715,,,,,0.43103448275862066,0.006550291758326188,40,490.275,0.17092931578999276,,,
0.2,0.4472,2.8,white,2.1333333333333333,1.4313940369055924,64,0.6070145486440601,0.4697470535046294,34,1459.6176470588234,85.0,1.3982688509305004,1.337319830599033,0.24344896033692082,,,0.9935344827586207,0.949725235623373,64,776.171875,0.18570902894665084,7.501936619331076e-07,0.08645587011624388,0.02833127234641579
0.2,0.4472,3.0,white,4.333333333333333,2.494438257849294,130,0.6136082487372122,3.018985922821297e-05,100,1559.34,61.0,1.4467370984664407,1.6137846458545684,0.23825111268221552,0.0025462291597740257,0.0031548960688376837,1.4854111405835542,0.089577917720578,130,1199.3153846153846,0.19787733964765938,4.265200726752135e-10,0.0069649706679704056,0.02670661650559186
0.3,0.5477,0.2,white,106.43333333333334,10.827998686532776,3193,0.32067596688771655,3.1416844997273173e-12,3163,93.53683212140373,29.0,1.4147091968903494,2.396737926489553,0.7095191849002498,3.2097859108597854e-107,4.808054940475057e-72,1.1395725563463177,0.5516461687438883,3193,91.82868775446289,0.6802801367795029,4.0608088401269227e-202,2.105822181542382e-75,3.973729893316671e-93
0.3,0.5477,0.4,white,16.466666666666665,4.897164712588521,494,0.3247023370809134,0.07037193256057264,464,574.5043103448276,27.5,1.6435914353172998,2.3375894027302775,0.34602654535136623,0.018358846970240962,3.218746566278586e-25,1.5066312997347475,0.07848227605473901,494,539.3947368421053,0.32826254857700515,1.784554903589486e-32,3.8020752020292894e-29,0.0148098221456963
0.3,0.5477,0.6,white,2.6,1.4966629547095767,78,0.3239839269308881,0.40592934456932184,48,1663.0625,21.5,1.4979083862961529,1.5808024185241114,0.2690501759132071,0.42367989731412203,0.08044442996968891,0.8912466843501327,0.7325988080952034,78,1026.076923076923,0.2237926765481155,1.690993642092478e-08,,0.008659239182983282
0.3,0.5477,0.8,white,1.1333333333333333,0.49888765156985887,34,0.3981354946897886,0.42912293715188043,4,3175.5,2162.0,1.0958946075024123,,,,,0.2271805273833672,9.010808565759669e-06,34,379.6764705882353,0.1988817520638089,,,
0.3,0.5477,1.0,white,1.0,0.0,30,0.37535496863519874,0.6997632144665475,0,,,,,,,,0.0,0.0,30,6.1,5.751322317126106,,0.027915151243738362,0.029172784039865878
0.3,0.5477,1.2,white,1.0,0.0,30,0.3903559634794665,0.7271983700683542,0,,,,,,,,0.0,0.0,30,5.133333333333334,6.560024256405674,,,0.001110537616683271
0.3,0.5477,1.4,white,1.0,0.0,30,0.4073545813244736,0.3652890142944747,0,,,,,,,,0.0,0.0,30,4.633333333333334,5.314482842895398,,0.005469936345628548,0.10982121927306364
0.3,0.5477,1.6,white,1.0,0.0,30,0.4494959868470411,0.27772621291569144,0,,,,,,,,0.0,0.0,30,4.2,5.616049604444177,,0.0005257058491000122,0.0048482477922564835
0.3,0.5477,1.8,white,1.0666666666666667,0.3590109871423002,32,0.4615509977221406,0.25247702244454545,2,1549.5,1549.5,0.9974185221039045,,,,,0.12499999999999994,6.13235560809966e-09,32,100.03125,0.22352030066005651,,,
0.3,0.5477,2.0,white,1.1333333333333333,0.49888765156985887,34,0.663677288218034,0.27042970553963924,4,1631.0,1548.5,1.001041969238607,,,,,0.2271805273833672,9.010808565759669e-06,34,194.64705882352942,0.19478430040051972,,,
0.3,0.5477,2.2,white,1.2,0.6,36,0.5910644279742804,0.5791496011670146,6,3274.1666666666665,1714.0,1.1365653564787346,,,,,0.3103448275862069,0.0002744234611129706,36,548.1111111111111,0.16453617292080486,,,
0.3,0.5477,2.4,white,2.466666666666667,1.6275407487644937,74,0.5874599436043871,0.895864743229513,44,1920.4318181818182,183.0,1.4199155975626045,1.28996820830971,0.2311650770420386,,0.061893883573105095,1.1109040074557315,0.6209265405547884,74,1142.4324324324325,0.18005730404612594,7.928630813872081e-10,0.03824188757828158,0.01252378732519319
0.3,0.5477,2.6,white,5.0,2.065591117977289,150,0.5471212060488426,0.01318255228196362,120,1522.6916666666666,61.5,1.5062492886065337,1.672501041293701,0.23749410035606616,0.031143476085535075,0.05621161327552687,0.8827586206896552,0.7064485095359235,149,1226.0604026845638,0.2018655975693014,2.3819963476981935e-11,0.025965860325037202,0.13837879837446518
0.3,0.5477,2.8,white,11.066666666666666,4.396463225012679,332,0.5322187835031151,3.223933344871871e-17,302,785.0629139072847,6.5,1.5044586987281645,1.6599104938387286,0.26016142456829494,0.0026212338147958048,4.775399181307847e-07,1.8068134607395094,0.00984121781667091,331,715.607250755287,0.23201664439729316,1.832884899120156e-27,8.71831706512129e-13,0.011559352329208619
0.3,0.5477,3.0,white,27.7,5.995275918031908,831,0.5822850415670875,1.8579948349059097e-43,801,350.58302122347067,7.0,1.6702549992251725,2.3534851292226215,0.29187650173318475,0.007350862916824091,1.1777501370015352e-141,1.3423378563425867,0.20610917542286344,823,340.32928311057105,0.26533989618949755,1.969537208562695e-49,0.0,0.005037664691973327
0.4,0.6325,0.2,white,196.53333333333333,13.225564470205253,5896,0.36331413194853057,1.218589430336086e-20,5866,50.599386293897034,22.0,1.3379397765819823,2.9107901295453797,0.9017664566824942,1.3620728732556537e-122,2.6385757008786408e-102,0.9206943339727692,0.8242403825222293,5894,49.44825246012894,0.8469920358537136,1.395087780467858e-186,6.335550790622163e-60,6.685616504436753e-119
0.4,0.6325,0.4,white,60.96666666666667,9.481502459467535,1829,0.3806475411698535,0.00010984421815318647,1799,159.4396887159533,22.0,1.614085414953536,2.544223726886744,0.4728186011450787,3.169719921297326e-35,3.882508413692718e-17,1.5254048754736904,0.06969525591210113,1829,156.02405686167305,0.45120351218747623,2.218662150639007e-147,2.3550858502930245e-15,4.768107873155225e-29
0.4,0.6325,0.6,white,14.0,3.492849839314596,420,0.3741467372114023,0.21073393226601475,390,646.0487179487179,19.0,1.656752766056255,2.218578696971939,0.3121292641002802,0.20537480006586809,7.833916582709859e-14,0.9014778325123153,0.7643079569984675,420,599.5428571428571,0.29233430312008374,1.162901678488784e-22,1.8807864307320576e-22,0.19641192643667352
0.4,0.6325,0.8,white,3.4,1.818424226264781,102,0.3772428008529283,0.9615761457834955,72,1521.1944444444443,20.0,1.4626802916953896,1.5240108121897498,0.26413940588548834,0.12487789235878594,0.04531474020014331,1.0060851926977692,0.9118073924448122,102,1075.0294117647059,0.22338968610982818,5.498050661687289e-10,0.03705374895381789,0.012778213883681491
0.4,0.6325,1.0,white,1.8,1.2220201853215573,54,0.36205151129107305,0.008427301909627814,24,1995.4583333333333,88.5,1.2605290073478441,1.0261315415865941,0.25403188893399686,,,0.8582375478927204,0.6319994312939334,54,889.6296296296297,0.19474298178127067,1.8837690538045364e-08,,
0.4,0.6325,1.2,white,1.4,0.8,42,0.4488367385826897,0.30052734113572593,12,2118.6666666666665,1561.0,1.078661174842529,0.49507001888792324,,,,0.4729064039408868,0.014539158168769063,42,608.7380952380952,0.1853881342229432,6.419458761422933e-07,,
0.4,0.6325,1.4,white,1.5333333333333334,0.8844332774281066,46,0.43639677815161587,0.6336830761071002,16,2124.375,1000.0,1.1758460707282452,0.8918183695949595,,,,0.527736131934033,0.035008747412793445,46,741.5652173913044,0.18237323794827176,2.6661692749196064e-06,,
0.4,0.6325,1.6,white,1.5333333333333334,0.8844332774281067,46,0.4279869354301374,0.678801032882532,16,1999.875,939.5,1.2327173750189773,1.0659584219133087,,,,0.5277361319340331,0.035008747412793334,46,697.8260869565217,0.1800145732829631,5.867188139119966e-06,,
0.4,0.6325,1.8,white,1.8,1.1075498483890769,54,0.5138518753436763,0.5463564768913157,24,1975.5,286.0,1.3320350568267136,1.0958987115156722,0.24014725344640392,,,0.7049808429118776,0.2428481751519177,53,896.0566037735849,0.1802726979144643,6.042174578994509e-07,,
0.4,0.6325,2.0,white,2.466666666666667,1.5434449203720302,74,0.5047927964539209,0.8121847267419801,44,1912.3863636363637,285.0,1.3899611766374627,1.343758854817458,0.23611867397473377,,0.3395600985959305,0.9990680335507922,0.9329491159143826,74,1137.7297297297298,0.18308745553090763,7.840659864139944e-08,0.15987575458623055,0.07100245127123071
0.4,0.6325,2.2,white,4.333333333333333,2.4944382578492945,130,0.471521564703527,0.22336956055084994,100,1462.81,16.5,1.5857908589226757,1.8314508293312366,0.23895112698495058,0.09290454008995565,0.10814111965666755,1.4854111405835548,0.0895779177205771,129,1133.8837209302326,0.20242238103733856,9.146002486487424e-10,0.20194574644801183,0.11370109148338398
0.4,0.6325,2.4,white,8.0,3.714835124201342,240,0.5463854324685632,0.0002529773668031635,210,980.6714285714286,6.0,1.6791901682704466,2.446624197484238,0.24820471248304848,0.05786434589505675,0.0035855384443332977,1.7844827586206897,0.01162363156905366,237,868.4303797468355,0.22116844140641373,5.773169695383406e-15,,0.19789002843140174
0.4,0.6325,2.6,white,16.9,5.821511831131154,507,0.5488477540562375,1.2019449393509453e-12,477,519.7798742138365,6.0,1.5805865507711971,1.9547974025094408,0.2756948865360993,0.001231494393833888,2.0945779355031605e-10,2.074474597021016,0.0011800024438279877,497,498.0523138832998,0.25182550660591446,2.976025397676542e-37,3.1437834955768436e-29,0.0012361855513335085
0.4,0.6325,2.8,white,39.96666666666667,10.540345767046206,1199,0.5782337899520106,3.4075459786177465e-39,1169,241.9093242087254,6.0,1.76558268713074,2.778050720665576,0.30986472546792465,1.2062629573980889e-05,4.479643715260872e-242,2.8756434960167954,7.302744764459135e-07,1176,239.53656462585033,0.28442135121515816,2.796950321287015e-72,3.74706625830987e-222,0.00015635846545162898
0.4,0.6325,3.0,white,81.03333333333333,14.202073401052708,2431,0.5774087739542239,2.0076226701224173e-102,2401,121.38400666389005,5.0,1.701912887567101,2.605731694170961,0.3572503338618257,1.0028790687220905e-18,0.0,2.574915956254698,1.3557118892393305e-05,2380,121.47436974789916,0.3238339565383754,2.8794359002517625e-160,0.0,4.282821603607297e-15
0.5,0.7071,0.2,white,288.8333333333333,15.72701144174852,8665,0.4107940547112674,1.3942174502826005e-27,8635,34.495888824551244,19.0,1.209410905025775,2.770036994789438,1.0911876432982042,5.311395142519725e-130,7.804089020146117e-105,0.885866645442426,0.7160051081452723,8662,33.43777418610021,1.000593167690346,6.518677302201187e-119,6.077234724850872e-62,3.83325927210236e-119
0.5,0.7071,0.4,white,125.13333333333334,12.384757656983934,3754,0.41116077475022045,1.848154114031825e-11,3724,79.29726100966703,18.0,1.531016564147974,2.470672305263459,0.5847863878256502,2.6554972874691096e-93,0.0,1.2680175628754613,0.30426580249398194,3750,77.8408,0.5499597266936458,3.351430983277232e-279,0.0,8.070346517575695e-89
0.5,0.7071,0.6,white,44.8,7.8204859184068605,1344,0.4078678963674758,0.0012773909937860784,1314,216.85540334855403,17.0,1.685630620440898,2.6330296769965,0.39347884897227114,3.7118458287295045e-10,1.33361124782026e-154,1.4122536945812807,0.13897305054580822,1344,211.2016369047619,0.37184312583380247,5.543041537915371e-69,1.636103891907362e-240,4.4367368774926e-08
0.5,0.7071,0.8,white,14.866666666666667,3.8620662287893968,446,0.4127044800419112,0.4886533769718028,416,595.6730769230769,15.0,1.6111827940645265,2.1170345862598547,0.3033734753917516,0.02473841720771354,5.753246458362979e-17,1.0378846451213855,0.8181811258206426,446,555.1165919282511,0.2823183395861071,5.236391843644421e-31,3.081826777423735e-25,0.016035756358076178
0.5,0.7071,1.0,white,6.4,3.1474857690967664,192,0.3925448406010131,0.051413838924768016,162,1108.7345679012346,15.0,1.508585443897216,1.6379728890729683,0.2655042499880044,0.006453830762789679,0.0007913440310764109,1.6012931034482751,0.04243716643782691,192,935.5625,0.2371893801758264,3.001537378766821e-17,0.0008318649620354698,0.016599412417075538
0.5,0.7071,1.2,white,3.6,2.2,108,0.48699139971952016,0.4522487813017403,78,1735.3076923076924,80.5,1.4171601780611047,1.3955509044598187,0.24964285286546778,0.1273280230929862,0.002810615062200081,1.3908045977011496,0.1572653744381356,107,1265.7102803738317,0.21125509315738736,8.05984885019829e-12,0.007793406778821032,0.015053340275262677
0.5,0.7071,1.4,white,3.2,1.8147543451754933,96,0.4346780215626205,0.35228928687504857,66,1764.8181818181818,87.5,1.4095927435028452,1.332259137322814,0.24728361813099348,0.11880877751174271,0.19309894936554964,1.064655172413793,0.7426815743535959,96,1214.03125,0.20297353688567787,4.7645421552971814e-11,,0.021900728725153917
0.5,0.7071,1.6,white,3.6666666666666665,1.9550504398153572,110,0.4265567493436821,0.6322402859808136,80,1673.7375,88.0,1.4460379981279818,1.4580192539705301,0.24521829533570091,0.4820652719940365,0.11658567650787839,1.0783699059561127,0.7053636589162819,109,1228.8165137614678,0.2045917708039621,2.345679054398438e-10,0.10244355856638755,0.06623420875004372
0.5,0.7071,1.8,white,4.666666666666667,2.7848798098940564,140,0.4947247142670248,0.9333317418971805,110,1539.2454545454545,52.0,1.5693028638991429,1.7778381008029176,0.23756796915174064,0.1349727416345421,0.060693295036664395,1.7192118226600988,0.018714068125398997,138,1226.876811594203,0.20418872650341682,8.105150652076506e-10,0.002500632838468194,0.13121544501639482
0.5,0.7071,2.0,white,6.8,3.8418745424597094,204,0.5333787562900602,0.07873815550166809,174,1137.4080459770114,13.0,1.607215062880605,2.14304780795249,0.2458452536678147,0.05322093966500273,0.23548917799450778,2.2454361054766734,0.00027373783280548736,201,984.2139303482587,0.21720373307240828,1.0840400817380302e-13,2.8346814386493896e-05,0.04470252523697143
0.5,0.7071,2.2,white,12.933333333333334,4.774469138611701,388,0.49348550881066255,1.5639262115937684e-07,358,692.0698324022346,7.0,1.726085039345224,2.559056356785769,0.26422877856816124,0.07069634921478674,4.3541686965317504e-60,1.8233202986135795,0.008692079236642725,378,654.7407407407408,0.24346222621131453,2.7237913023156603e-21,,0.09554109986458934
0.5,0.7071,2.4,white,24.0,6.60807586719967,720,0.5559649942465539,7.303656971783263e-13,690,411.0289855072464,6.0,1.699478081124379,2.57685862134175,0.28305931502663334,0.1528655951620734,7.995632297768506e-139,1.8821839080459768,0.005540644737429989,706,400.85127478753543,0.2604935488895421,1.2577095828551584e-35,1.8576460122494507e-114,0.07161436386195649
0.5,0.7071,2.6,white,45.46666666666667,8.950729330929159,1364,0.5429863909055459,1.7976294438135964e-26,1334,215.85157421289355,6.0,1.6938125517891214,2.4732485886059807,0.3183947306864684,7.926857675179553e-06,2.002627825605338e-250,1.8228334513095357,0.00872408671337399,1339,214.10306198655712,0.2913314613173318,3.466138420971851e-93,0.0,0.0001889073519133783
0.5,0.7071,2.8,white,86.53333333333333,15.324780223183916,2596,0.5748787924657732,1.7159657227366228e-64,2566,113.98168355416992,5.0,1.737603440204226,2.6799488644020695,0.35907009309256555,4.826068076867217e-18,0.0,2.807555390255566,1.4334299909268822e-06,2508,115.62240829346092,0.32917217126439713,4.2906434145024735e-151,0.0,9.865739485023866e-14
0.5,0.7071,3.0,white,149.36666666666667,15.538089400638105,4481,0.5907421657630385,9.164061120934548e-127,4451,66.14558526173893,5.0,1.6449861178296192,2.50653889088368,0.412601418899694,8.782510615519993e-52,0.0,1.6721098277016369,0.026127270777023925,4313,67.24484117783446,0.3727311416876953,8.148569382660292e-287,0.0,8.059768466392484e-37
0.6,0.7746,0.2,white,377.0,15.123932469213598,11310,0.4431777464692183,3.4468942094428014e-36,11280,26.45558510638298,16.0,1.1219725862366376,2.752318930597529,1.2271363228910328,5.742135704528099e-105,1.2387666525168089e-74,0.6276410866184945,0.11987878343992678,11298,25.45096477252611,1.1011768958925774,1.1767364707819789e-67,6.428424290579142e-41,3.244522179453923e-93
0.6,0.7746,0.4,white,206.2,16.73598916506979,6186,0.4436652533628416,5.494068626573961e-24,6156,48.223034437946716,15.0,1.4889601311250404,2.767045477667913,0.6952583708463801,7.735534145095956e-194,1.106222345997715e-116,1.4051974982440887,0.1447809069127144,6172,47.14598185353208,0.6423462450289943,0.0,1.4766527433517697e-117,4.262126464496225e-180
